who_variant	cov_variant
Omicron-BA.1*	BA.1
Omicron-BA.2.75*	BA.2.75
Omicron-BJ.1*	BJ.1
Omicron-BN.1*	BN.1
Omicron-BA.2*	BA.2
Omicron-BA.3*	BA.3
Omicron-BA.4*	BA.4
Omicron-BE.9*	BE.9
Omicron-BF.7*	BF.7
Omicron-BQ.1*	BQ.1
Omicron-BA.5*	BA.5
Recombinante	X
Omicron/1	Omicron-BA.1*
Omicron/2	Omicron-BA.2*
Omicron/2	Omicron-BA.2.75*
Omicron/2	Omicron-BJ.1*
Omicron/2	Omicron-BN.1*
Omicron/3	Omicron-BA.3*
Omicron/4	Omicron-BA.4*
Omicron/5	Omicron-BA.5*
Omicron/5	Omicron-BF.7*
Omicron/5	Omicron-BQ.1*
Omicron/5	Omicron-BE.9*
